id,timepoint,ear,frequency,min_level,max_level,manual threshold
19,0,right,16000,65,105,100.0
19,1,right,16000,65,105,100.0
19,2,right,16000,65,105,100.0
19,0,right,22627,65,105,95.0
19,1,right,22627,65,105,95.0
19,2,right,22627,65,105,105.0
19,0,right,32000,65,105,95.0
19,1,right,32000,65,105,inf
19,2,right,32000,65,105,inf
20,0,left,8000,15,80,40.0
20,1,left,8000,15,80,35.0
20,0,left,16000,15,80,30.0
20,1,left,16000,15,80,25.0
20,0,left,32000,15,80,30.0
20,1,left,32000,15,80,40.0
21,0,left,16000,65,105,90.0
21,0,left,22627,65,105,90.0
21,0,left,32000,65,105,90.0
22,2,left,4000,15,105,75.0
22,4,left,4000,15,105,70.0
22,0,left,4000,15,105,60.0
22,1,left,4000,15,105,70.0
22,3,left,4000,15,105,70.0
22,2,left,5656,15,105,50.0
22,4,left,5656,15,105,45.0
22,0,left,5656,15,105,40.0
22,1,left,5656,15,105,60.0
22,3,left,5656,15,105,45.0
22,2,left,8000,15,105,50.0
22,4,left,8000,15,105,40.0
22,0,left,8000,15,105,40.0
22,1,left,8000,15,105,60.0
22,3,left,8000,15,105,45.0
22,2,left,11313,15,105,25.0
22,4,left,11313,15,105,30.0
22,0,left,11313,15,105,30.0
22,1,left,11313,15,105,40.0
22,3,left,11313,15,105,30.0
22,2,left,16000,15,105,55.0
22,4,left,16000,15,105,40.0
22,0,left,16000,15,105,30.0
22,1,left,16000,15,105,40.0
22,3,left,16000,15,105,40.0
22,2,left,22627,15,105,65.0
22,4,left,22627,15,105,60.0
22,0,left,22627,15,105,45.0
22,1,left,22627,15,105,55.0
22,3,left,22627,15,105,55.0
22,2,left,32000,15,105,70.0
22,4,left,32000,15,105,60.0
22,0,left,32000,15,105,55.0
22,1,left,32000,15,105,70.0
22,3,left,32000,15,105,60.0
22,0,right,4000,65,105,inf
22,0,right,5656,65,105,85.0
22,0,right,8000,65,105,85.0
22,0,right,11313,65,105,70.0
22,0,right,16000,65,105,75.0
22,0,right,22627,65,105,80.0
22,0,right,32000,65,105,90.0
23,2,left,4000,15,105,80.0
23,0,left,4000,15,105,80.0
23,1,left,4000,15,105,75.0
23,3,left,4000,15,105,80.0
23,4,left,4000,15,105,90.0
23,2,left,5656,15,105,60.0
23,0,left,5656,15,105,45.0
23,1,left,5656,15,105,55.0
23,3,left,5656,15,105,65.0
23,4,left,5656,15,105,70.0
23,2,left,8000,15,105,45.0
23,0,left,8000,15,105,40.0
23,1,left,8000,15,105,45.0
23,3,left,8000,15,105,60.0
23,4,left,8000,15,105,55.0
23,2,left,11313,15,105,40.0
23,0,left,11313,15,105,35.0
23,1,left,11313,15,105,25.0
23,3,left,11313,15,105,55.0
23,4,left,11313,15,105,40.0
23,2,left,16000,15,105,45.0
23,0,left,16000,15,105,35.0
23,1,left,16000,15,105,40.0
23,3,left,16000,15,105,65.0
23,4,left,16000,15,105,55.0
23,2,left,22627,15,105,40.0
23,0,left,22627,15,105,35.0
23,1,left,22627,15,105,40.0
23,3,left,22627,15,105,70.0
23,4,left,22627,15,105,60.0
23,2,left,32000,15,105,50.0
23,0,left,32000,15,105,45.0
23,1,left,32000,15,105,50.0
23,3,left,32000,15,105,75.0
23,4,left,32000,15,105,65.0
23,0,right,4000,65,105,inf
23,0,right,5656,65,105,90.0
23,0,right,8000,65,105,90.0
23,0,right,11313,65,105,85.0
23,0,right,16000,65,105,-inf
23,0,right,22627,65,105,70.0
23,0,right,32000,65,105,80.0
24,0,left,4000,15,105,95.0
24,0,left,5656,15,105,90.0
24,0,left,8000,15,105,80.0
24,0,left,11313,15,105,80.0
24,0,left,16000,15,105,75.0
24,0,left,22627,15,105,85.0
24,0,left,32000,15,105,80.0
24,0,left,45254,15,105,80.0
24,0,right,4000,15,105,90.0
24,0,right,5656,15,105,95.0
24,0,right,8000,15,105,85.0
24,0,right,11313,15,105,85.0
24,0,right,16000,15,105,85.0
24,0,right,22627,15,105,90.0
24,0,right,32000,15,105,90.0
24,0,right,45254,15,105,100.0
25,0,left,4000,15,105,75.0
25,0,left,5656,15,105,70.0
25,0,left,8000,15,105,65.0
25,0,left,11313,15,105,65.0
25,0,left,16000,15,105,85.0
25,0,left,22627,15,105,100.0
25,0,left,32000,15,105,100.0
25,0,left,45254,15,105,100.0
26,0,left,4000,15,80,55.0
26,1,left,4000,15,80,40.0
26,0,left,5656,15,80,35.0
26,1,left,5656,15,80,40.0
26,0,left,8000,15,80,25.0
26,1,left,8000,15,80,35.0
26,0,left,11313,15,80,15.0
26,1,left,11313,15,80,35.0
26,0,left,16000,15,80,40.0
26,1,left,16000,15,80,30.0
26,0,left,22627,15,80,35.0
26,1,left,22627,15,80,25.0
26,0,left,32000,15,80,45.0
26,1,left,32000,15,80,30.0
26,0,left,45254,15,80,60.0
26,1,left,45254,15,80,70.0
27,0,left,4000,65,105,85.0
27,0,left,5656,65,105,85.0
27,0,left,8000,65,105,85.0
27,0,left,11313,65,105,80.0
27,0,left,16000,65,105,80.0
27,0,left,22627,65,105,80.0
27,0,left,32000,65,105,85.0
27,0,left,45254,65,105,95.0
27,0,right,4000,65,105,90.0
27,0,right,5656,65,105,85.0
27,0,right,8000,65,105,90.0
27,0,right,11313,65,105,75.0
27,0,right,16000,65,105,85.0
27,0,right,22627,65,105,75.0
27,0,right,32000,65,105,100.0
27,0,right,45254,65,105,100.0
28,0,left,4000,15,105,inf
28,1,left,4000,15,105,inf
28,0,left,5656,15,105,105.0
28,1,left,5656,15,105,105.0
28,0,left,8000,15,105,95.0
28,1,left,8000,15,105,100.0
28,0,left,11313,15,105,85.0
28,1,left,11313,15,105,90.0
28,0,left,16000,15,105,90.0
28,1,left,16000,15,105,90.0
28,0,left,22627,15,105,100.0
28,1,left,22627,15,105,90.0
28,0,left,32000,15,105,95.0
28,1,left,32000,15,105,90.0
29,0,left,4000,15,105,50.0
29,0,left,5656,15,105,55.0
29,0,left,8000,15,105,50.0
29,0,left,11313,15,105,65.0
29,0,left,16000,15,105,60.0
29,0,left,22627,15,105,65.0
29,0,left,32000,15,105,75.0
29,0,left,45254,15,105,80.0
29,0,right,4000,15,105,50.0
29,0,right,5656,15,105,50.0
29,0,right,8000,15,105,45.0
29,0,right,11313,15,105,65.0
29,0,right,16000,15,105,65.0
29,0,right,22627,15,105,60.0
29,0,right,32000,15,105,70.0
29,0,right,45254,15,105,75.0
30,0,left,4000,65,105,inf
30,0,left,5656,65,105,inf
30,0,left,8000,65,105,95.0
30,0,left,11313,65,105,95.0
30,0,left,16000,65,105,100.0
30,0,left,22627,65,105,90.0
30,0,left,32000,65,105,100.0
30,0,right,4000,65,105,inf
30,0,right,5656,65,105,inf
30,0,right,8000,65,105,95.0
30,0,right,11313,65,105,90.0
30,0,right,16000,65,105,95.0
30,0,right,22627,65,105,90.0
30,0,right,32000,65,105,90.0
31,2,left,4000,15,105,60.0
31,3,left,4000,15,105,50.0
31,0,left,4000,15,105,60.0
31,1,left,4000,15,105,55.0
31,2,left,5656,15,105,50.0
31,3,left,5656,15,105,50.0
31,0,left,5656,15,105,55.0
31,1,left,5656,15,105,60.0
31,2,left,8000,15,105,45.0
31,3,left,8000,15,105,35.0
31,0,left,8000,15,105,35.0
31,1,left,8000,15,105,35.0
31,2,left,11313,15,105,30.0
31,3,left,11313,15,105,35.0
31,0,left,11313,15,105,35.0
31,1,left,11313,15,105,40.0
31,2,left,16000,15,105,55.0
31,3,left,16000,15,105,65.0
31,0,left,16000,15,105,50.0
31,1,left,16000,15,105,45.0
31,2,left,22627,15,105,95.0
31,3,left,22627,15,105,inf
31,0,left,22627,15,105,95.0
31,1,left,22627,15,105,95.0
31,2,left,32000,15,105,inf
31,3,left,32000,15,105,inf
31,0,left,32000,15,105,100.0
31,1,left,32000,15,105,inf
31,2,left,45254,15,105,inf
31,3,left,45254,15,105,inf
31,0,left,45254,15,105,100.0
31,1,left,45254,15,105,85.0
31,2,right,4000,15,105,55.0
31,3,right,4000,15,105,45.0
31,0,right,4000,15,105,40.0
31,1,right,4000,15,105,55.0
31,2,right,5656,15,105,45.0
31,3,right,5656,15,105,45.0
31,0,right,5656,15,105,40.0
31,1,right,5656,15,105,45.0
31,2,right,8000,15,105,35.0
31,3,right,8000,15,105,45.0
31,0,right,8000,15,105,30.0
31,1,right,8000,15,105,40.0
31,2,right,11313,15,105,40.0
31,3,right,11313,15,105,55.0
31,0,right,11313,15,105,35.0
31,1,right,11313,15,105,40.0
31,2,right,16000,15,105,65.0
31,3,right,16000,15,105,85.0
31,0,right,16000,15,105,50.0
31,1,right,16000,15,105,55.0
31,2,right,22627,15,105,95.0
31,3,right,22627,15,105,inf
31,0,right,22627,15,105,95.0
31,1,right,22627,15,105,100.0
31,2,right,32000,15,105,inf
31,3,right,32000,15,105,inf
31,0,right,32000,15,105,inf
31,1,right,32000,15,105,inf
31,2,right,45254,15,105,105.0
31,3,right,45254,15,105,inf
31,0,right,45254,15,105,105.0
31,1,right,45254,15,105,90.0
32,0,left,4000,15,105,95.0
32,0,left,5656,15,105,85.0
32,0,left,8000,15,105,85.0
32,0,left,11313,15,105,85.0
32,0,left,16000,15,105,95.0
32,0,left,22627,15,105,90.0
32,0,left,32000,15,105,95.0
32,0,left,45254,15,105,95.0
32,0,right,4000,15,105,100.0
32,0,right,5656,15,105,95.0
32,0,right,8000,15,105,80.0
32,0,right,11313,15,105,80.0
32,0,right,16000,15,105,90.0
32,0,right,22627,15,105,85.0
32,0,right,32000,15,105,85.0
32,0,right,45254,15,105,90.0
33,0,left,4000,15,105,100.0
33,1,left,4000,50,105,inf
33,2,left,4000,15,105,85.0
33,3,left,4000,15,105,95.0
33,0,left,5656,15,105,80.0
33,2,left,5656,15,105,70.0
33,3,left,5656,15,105,100.0
33,0,left,8000,15,105,65.0
33,1,left,8000,50,105,70.0
33,2,left,8000,15,105,70.0
33,3,left,8000,15,105,75.0
33,0,left,11313,15,105,70.0
33,2,left,11313,15,105,60.0
33,3,left,11313,15,105,65.0
33,0,left,16000,15,105,65.0
33,1,left,16000,50,105,60.0
33,2,left,16000,15,105,60.0
33,3,left,16000,15,105,60.0
33,0,left,22627,15,105,65.0
33,2,left,22627,15,105,70.0
33,3,left,22627,15,105,70.0
33,0,left,32000,15,105,95.0
33,1,left,32000,50,105,95.0
33,2,left,32000,15,105,75.0
33,3,left,32000,15,105,75.0
33,0,right,4000,15,105,75.0
33,2,right,4000,15,105,60.0
33,3,right,4000,15,105,65.0
33,0,right,5656,15,105,60.0
33,2,right,5656,15,105,35.0
33,3,right,5656,15,105,40.0
33,0,right,8000,15,105,35.0
33,2,right,8000,15,105,40.0
33,3,right,8000,15,105,40.0
33,0,right,11313,15,105,35.0
33,2,right,11313,15,105,35.0
33,3,right,11313,15,105,30.0
33,0,right,16000,15,105,20.0
33,2,right,16000,15,105,40.0
33,3,right,16000,15,105,35.0
33,0,right,22627,15,105,40.0
33,2,right,22627,15,105,40.0
33,3,right,22627,15,105,35.0
33,0,right,32000,15,105,35.0
33,2,right,32000,15,105,45.0
33,3,right,32000,15,105,35.0
34,0,left,4000,15,105,inf
34,0,left,5656,15,105,105.0
34,0,left,8000,15,105,90.0
34,0,left,11313,15,105,80.0
34,0,left,16000,15,105,90.0
34,0,left,22627,15,105,90.0
34,0,left,32000,15,105,95.0
34,0,left,45254,15,105,105.0
34,0,right,4000,65,105,inf
